_natured (forming compound adjs)	adj\nစိတ္ သေဘာထားရိွေသာ။ good -natuerd.
reconnoitre	v\nၾကည့္ရႈစစ္ေဆးသည္။ ၾကိဳတင္ၾကည့္ရႈစစ္ေဆးသည္။
reconnoitre	n\nၾကိဳတင္သြားေရာက္ၾကည့္ရူျခင္း
reconsider	adj\nျပန္၍အသစ္တဖန္ စဉ္းစားဆင္ျခင္သည္။
reconstruct	v\nျပန္လည္တည္ေဆာက္သည္။
record	v\nမွတ္တမ္းတင္သည္။ ဓာတ္ျပားသြင္းသည္။
record	n\nမွတ္တမ္း။ စံခ်ိန္။
record-breaking	adj\nစံခ်ိန္ခ်ိဳးေသာ။
recorded	v[pt]\nမွတ္တမ္းတင္ခဲ့
recorded	v[pp]\nမွတ္တမ္းတင္ခဲ့ျပီး
recorder	n\nရေကာ္ဒါ
recorders	n[pl]\nရေကာ္ဒါမ်ား
recording	n\nအသံသြင္းျခင္း
recording	v[ing]\nမွတ္တမ္းေန
recordings	n[pl]\nအသံသြင္းျခင္းမ်ား
records	n[pl]\nမွတ္တမ္းမ်ား
records	v[sg]\nအသံသြင္း
recount	v\nျပန္ေျပာသည္။
recoup	v\nေလ်ာ္ေၾကးေပးသည္။
recourse	v\nအကူအညီ ေတာင္းခံသည္။
recover	v\nေပ်ာက္ေနသည့္ အရာကိုရသည္။ ေနျပန္ေကာင္းသည္။
recoverable	adj\nျပန္ေတြ႔ႏိုင္ေသာ။
recovered	v[pt]\nနာလန္ထူခဲ့
recovered	v[pp]\nနာလန္ထူခဲ့ျပီး
recovering	v[ing]\nနာလန္ထူေန
recovers	v[sg]\nနာလန္ထူ
recovery	n\nျပန္၍ရယူ၊ ရရိွျခင္း။ ျပန္လည္က်န္းမာျခင္း။
recreant	n\nသတၱိနည္းသည့္ သစၥာေဖာက္။
recreate	v\nအပမ္းေျပသည္။ ေဖ်ာ္ေျဖသည္။
recreation	n\nေဖ်ာ္ေျဖမႈ။
recreational	adj\nအပန္းေျဖေရးႏွင့္ဆိုင္ေသာ။
recriminate	v\nျပန္၍စြပ္စဲြသည္။ စဲြဆိုသည္။ အျပစ္တင္သည္။
recrimination	n\nျပန္လွန္စဲြဆိုခ်က္။
recruit	n\nစစ္သားသစ္။ အဖဲြ႔ဝင္သစ္။
recruit	v\nစစ္သားသစ္သြင္းသည္။
recruited	v[pt]\nစစ္သားစုေဆာင္းခဲ့
recruited	v[pp]\nစစ္သားစုေဆာင္းခဲ့ျပီး
recruiting	v[ing]\nစစ္သားစုေဆာင္းေန
recruitment	n\nတပ္သားသစ္သြင္းျခင္း။
recruits	v[sg]\nလူစုေဆာင္း
recruits	n[pl]\nတပ္သားသစ္
rectangle	n\nေထာင့္မွန္ ေလးေထာင့္။
rectify	v\nအမွားကိုပယ္သည္။
rectilinear	adj\nမ်ဉ္းတစ္ေၾကာင္းတည္းျဖစ္ေသာ။
rectitude	n\nေျဖာင့္မတ္ျခင္း။ ေျဖာင့္မတ္သည့္စိတ္ထား။
recto	n\nစာအုပ္၏လက္ယာဘက္စာမ်က္ႏွာ။
rector	n\nပါေမာကၡခ်ဳပ္။
rectors	n[pl]\nပါေမာကၡခ်ဳပ္
rectory	n\nခရစ္ယာန္ေရဖ်န္းသင္းအုပ္ဆရာအလုပ္။
rectum	n\nစအိုဝ။ ဒြာရ။
rectums	n[pl]\nစအိုမ်ား
recumbent	adj\nလေလ်ာင္းေနေသာ။
recuperate	v\nအားျပန္ျပည့္လာသည္။
recur	v\nျပန္ျဖစ္လာသည္။
recurve	v\nျပန္ေတြးသည္။
recusant	adj\nကလန္ကဆန္လုပ္ေသာ။
recycle	v\nျပန္လည္သံုးစဲြသည္။
red	adj\nအနေရာင္ျဖစ္ေသာ။
red	n\nအနေရာင္။
red ant	n\nခါခ်ဉ္ေကာင္
Red Cross	n\nၾကက္ေျခနီအဖဲြ႔။
red port	n\nဝက္သားနီခ်က္
red silk cotton tree	n\nလက္ပံပင္
red-coat	n\nျဗိတိသွ်စစ္သား။
red-eyed gudgeon	n\nမ်က္ဆန္
red-light	n\nအႏၱရယ္ရိွေၾကာင္းျပသည့္ သေကၤတ။
red-light district	n\nဇိမ္ခန္းမ်ားရိွသည့္ ရပ္ကြက္။
redact	v\nတည္းျဖတ္သည္။
redaction	n\nတည္းျဖတ္ျခင္း။
redan	n\nဂ်က္ေခါင္းထိုးပံု ခံတပ္ကတုတ္။
redcap	n\n(GB) စစ္ရဲ။ (US) ဘူတာရံုရိွ အထမ္းသမား။
redden	v\nနီလာသည္။ အနေရာင္ထြက္သည္။
redder	adj[com]\nပို၍နီ
reddest	adj[sup]\nအနီဆံုး
reddish	adj\nနီသလိုျဖစ္ေသာ။
redeem	v\nေပါင္ထားသည့္ ပစၥည္းကို ျပန္ေရြးသည္။
redeemable	adj\nေရြးႏိုင္ေသာ။
redeemed	v[pt]\nအေၾကြးဆပ္ခဲ့
redeemed	v[pp]\nအေၾကြးဆပ္ခဲ့ျပီး
redeeming	v[ing]\nအေၾကြးဆပ္ေန
redeems	v[sg]\nအေၾကြးဆပ္
redemption	n\nကတိအတိုင္းျပဳလုပ္ျခင္း။
redemptive	adj\nကတိအတိုင္းျဖစ္ေသာ။
redeploy	v\nျပန္လည္ေနရာခ်ထားသည္။
rediffusion	n\nအမ်ားျပည္သူကို ျပသသည့္စနစ္၊ အစီအစဉ္။
redirect	v\nျပန္လည္ၫြန္သည္။
redo	v\nတစ္ဖန္ျပန္၍ျပဳလုပ္သည္။
redolent	adj\nအနံ့ျပင္းေသာ။
redouble	v\nပိုမိုအားရိွေအာင္ ျပဳလုပ္သည္။
redoubt	n\nခံစစ္ေၾကာင္းရိွ အခိုင္အမာ ေနရာ။
redoubtable	adj\nေၾကာက္ရံြ႔ဖြယ္ေကာင္းေသာ။ ၾကံ့ခိုင္ေသာ။
redress	n\nျပန္လည္ျပဳျပင္ျခင္း။ ျပန္လည္ျပင္ဆင္ျခင္း။
reds	n[pl]\nအနေရာင္မ်ား
redskin	n\nအေမရိကန္မွ အသားအနေရာင္ထေသာ တိုင္းရင္းသားလူမ်ိဳး။
reduce	v\nနည္းေအာင္ျပဳလုပ္သည္။ ေလွ်ာ႔ပစ္သည္။
reduced	v[pt]\nေလွ်ာ႔ခ်ခဲ့
reduced	v[pp]\nေလွ်ာ႔ခ်ခဲ့ျပီး
reduces	v[sg]\nေလွ်ာ႔ခ်
reducible	adj\nေလ်ာ႔နည္းေအာင္ ျပဳလုပ္ႏိုင္ေသာ။
reducing	v[ing]\nေလွ်ာ႔ခ်ေန
reduction	n\nေလ်ာ႔နည္းေအာင္ ျပဳလုပ္ျခင္း။
reductions	n[pl]\nေလွ်ာ႔ခ်ျခင္း
redundancies	n[pl]\nေလွ်ာ႔ခ်ႏိုင္ျခင္းမ်ား
redundancy	n\nေလွ်ာ႔ခ်ႏိုင္ျခင္း
redundant	adj\nေပါမ်ားေသာ။
reduplicate	v\nႏွစ္ဆတိုးသည္။ ႏွစ္ဆပြားသည္။
redwood	n\nအေမရိကန္ျပည္ ကယ္လီဖိုးနီးယားနယ္ေပါက္ အဖိုးတန္သစ္မ်ိဳး။
reed	n\nက်ဴပင္။
reedy	adj\nက်ဴပင္ေပါမ်ားေသာ။ အသံစူးရွေသာ။
reef	n\nေသာင္ခံုေက်ာက္တန္း။
reefer	n\nခါးတိုအက်ၤီ (သေဘၤာသား)။
reefs	n[pl]\nေက်ာက္တန္းမ်ား
reek	n\nအခိုး၊ အနံ့အသက္။
reek	v\nအနံ့ဆိုးထြက္သည္။
reel	n\nအပ္ခ်ည္၊ ၾကိဳး၊ ဖလင္ စသည္တို႔ကို ရစ္ရန္ ဘီးလံုး။
reel	v\nဘီးရစ္တံျဖင့္ ရစ္သည္။
reeve	n\nေရွးေခတ္က ခရိုင္၊ ျမိဳ႕နယ္ ရာဇဝတ္တရားသူၾကီး။
reface	v\nမ်က္ႏွာျပင္အသစ္ မြမ္းမံသည္။
refection	n\nအစာေျပသြားရည္စာ။
refectory	n\nဘုန္ၾကီးေက်ာင္း၊ တကၠသိုလ္ရိွ ထမင္းစားခန္း။
refer	v\nလႊေျပာင္းေပးသည္။ ရည္ၫြန္ကိုးကားသည္။
referee	n\nဒိုင္လူၾကီး။
referee	v\nဒိုင္လူၾကီးအျဖစ္ ေဆာင္ရြက္သည္။
referees	n[pl]\nဒိုင္လူၾကီးမ်ား
reference	n\nကိုးကားျခင္း။
references	n[pl]\nအညႊန္း ကိုးကားျခင္းမ်ား
referendum	n\nျပည္သူ႔ဆႏၵ ခံယူပဲြ။
referrable	adj\nလြႊေျပာင္းေပးေသာ။
refill	v\nျပန္ျဖည့္သည္။
refill	n\nျပန္ျဖည့္ထားသည့္အရာ။
refills	n[pl]\nမွင္ေခ်ာင္းမ်ား
refine	v\nအညစ္အေၾကး ကင္းစင္ေစသည္။ ယဉ္ေက်းသိမ္ေမြ႔ေစသည္။
refinement	n\nအညစ္အေၾကးကင္းစင္ေအာင္ ျပဳလုပ္ျခင္း။ ယဉ္ေက်းသိမ္ေမြ႔ျခင္း။
refiner	n\nသန္႔စင္ေအာင္ျပဳလုပ္ေပးသူ။ သန္႔စင္ေအာင္ ျပဳလုပ္သည့္ ကိရိယာ။
refinery	n\nသၾကား၊ သတၱဳစသည္တို႔ကို သန္႔ရွင္းေအာင္ျပဳလုပ္သည္။
refit	v\nျပန္လည္ျပင္ဆင္သည္။
reflate	v\nယခင္ကအတိုင္းျပန္ျဖစ္ေစသည္။
reflation	n\nယခင္ကအတိုင္းျပန္ျဖစ္လာျခင္း။
reflect	v\nတန္ျပန္သည္။ အလင္းေရာင္၊ အပူ၊ အသံစသည့္တို႔ကို ျပန္ေစသည္။ ဂုဏ္သိကၡာ ထိခိုက္ေစသည္။
reflected	v[pt]\nပံုရိပ္ထင္ခဲ့
reflected	v[pp]\nပံုရိပ္ထင္ခဲ့ျပီး
reflecting	v[ing]\nပံုရိပ္ထင္ေန
reflection	n\nေရာင္ျပန္ဟပ္ျခင္း။ အေရာင္ျပန္သည့္အရာ။ ေတြးေတာစဉ္းစားျခင္း။
reflections	n[pl]\nပံုရိပ္မ်ား
reflective	adj\nေတြးေတာ စဉ္းစားေသာ။
reflectively	adv\nျပန္လွန္ဆင္ျခင္သံုးသပ္လ်က္။
reflector	n\nေရာင္ျပန္ေစသည့္အရာ။
reflects	v[sg]\nပံုရိပ္ထင္
reflex	adj\nအလိုအေလ်ာက္ တံု႔ျပန္ေသာ။
reflexive	n\nကိုယ္တိုင္ ဟူေသာနာမ္စား။
reflexive	adj\nကတၱားရည္ညႊန္း(ၾကိယာ၊ နာမ္စား)
refloat	v\nေရတြင္ျပန္၍ေပၚေစသည္။
reflux	n\nျပန္စီးျခင္း၊ ဒေရက်ျခင္း။
reform	v\nျပဳျပင္သည္။ ျပန္၍ပံုသြင္းသည္။
reform	n\nျပဳျပင္ျခင္း။
reformation	n\nျပဳျပင္ျခင္း။ ဘာသာေရး၊ လူမႈေရး၊ ႏိုင္ငံေရး တိုးတက္ေအာင္ အရင္းအျမစ္မွ ျပဳျပင္ေျပာင္းလဲျခင္း။
reformatories	n[pl]\nေလလြင့္လူငယ္မ်ား ထိန္းသိမ္းရန္ေနရာမ်ား
reformatory	adj\nျပဳျပင္ေျပာင္းလဲလိုေသာ။
reformatory	n\nေလလြင့္လူငယ္မ်ား ထိန္းသိမ္းရန္ေနရာ
reformed	v[pt]\nျပဳျပင္တည္ေဆာက္ခဲ့
reformed	v[pp]\nျပဳျပင္တည္ေဆာက္ခဲ့ျပီး
reformer	n\nျပဳျပင္သူ။
reforms	v[sg]\nျပဳျပင္တည္ေဆာက္
reforms	n[pl]\nျပဳျပင္ေျပာင္းလဲမႈမ်ား
refouming	v[ing]\nျပဳျပင္တည္ေဆာက္ေန
refract	v\nအလင္ယိုင္ေစသည္။
refractory	adj\nစည္းကမ္းကိုမလိုက္နာေသာ။
refrain	v\nေရွာင္ၾကဉ္ ထိန္းသိမ္းသည္။
refresh	v\nအားသစ္တိုးေစသည္။ စားေသာက္ရန္ ယူေဆာင္သည္။
refreshing	adj\nအားသစ္တိုးေစေသာ။ အားအင္ျပည့္ျဖိဳးေစေသာ။
refreshment	n\nအားသစ္တိုးျခင္း။
refreshment	often pl\nအစားအစာ။
refrigerate	v\nေအးေအာင္ျပဳလုပ္သည္။
refrigerator	n\nေရခေသတၱာ။
refrigerators	n[pl]\nေရခေသတၱာမ်ား
refuel	v\nေလာင္စာထပ္ျဖည့္သည္။
refuge	n\nခိုမီွရာ။ ခိုကိုးျခင္း။
refugee	n\nခိုလံႈသူ။
refugee camp	n\nဒုကၡသည္စခန္း။
refulgent	adj\nေျပာင္လက္ေတာက္ပေသာ။
refund	v\nေငြျပန္အမ္းသည္။
